Designator,Mid X,Mid Y,Layer,Rotation
D2,50.27mm,52.8mm,Bottom,180.0
D3,52.325mm,43.3mm,Bottom,180.0
D4,42.42mm,40.65mm,Bottom,180.0
D5,52.762868mm,36.587868mm,Bottom,225.0
R9,30.225mm,45.25mm,Bottom,90.0
R10,7.775mm,43.0mm,Bottom,90.0
R11,26.725mm,43.45mm,Bottom,90.0
R12,33.325mm,49.0mm,Bottom,90.0
R13,6.475mm,47.95mm,Bottom,90.0
R14,23.975mm,47.25mm,Bottom,90.0
R15,17.125mm,43.1mm,Bottom,90.0
R18,15.425mm,48.2mm,Bottom,90.0
C1,138.675mm,20.1mm,Top,90.0
D6,41.025mm,69.7mm,Top,0.0
D7,26.225mm,70.15mm,Top,0.0
F1,127.125mm,40.85mm,Top,315.0
F2,115.775mm,44.05mm,Top,0.0
G3,58.525mm,15.55mm,Top,0.0
G4,9.725mm,7.8mm,Top,0.0
J1,28.735mm,8.1mm,Top,90.0
J4,74.835mm,8.1mm,Top,90.0
J9,138.625mm,4.15mm,Top,0.0
P3,134.375mm,40.95mm,Top,90.0
P4,138.155mm,40.95mm,Top,90.0
Q1,32.271811mm,50.745715mm,Top,300.0
Q2,5.405mm,49.458808mm,Top,300.0
Q3,23.521811mm,49.295715mm,Top,300.0
Q4,14.455mm,49.558808mm,Top,300.0
Q7,47.725mm,52.45mm,Top,120.0
Q8,49.275mm,42.75mm,Top,120.0
Q9,41.525mm,40.5mm,Top,120.0
Q10,52.952386mm,33.272614mm,Top,315.0
Q11,45.675mm,69.65mm,Top,0.0
Q12,31.9625mm,70.1mm,Top,0.0
Q13,60.025mm,52.0mm,Top,0.0
Q14,64.275mm,34.75mm,Top,0.0
Q15,61.725mm,43.0mm,Top,0.0
Q16,63.975mm,25.3mm,Top,90.0
R1,142.775mm,55.05mm,Top,270.0
R2,111.725mm,56.65mm,Top,90.0
R3,113.625mm,55.1mm,Top,90.0
R4,116.025mm,15.15mm,Top,180.0
R5,69.525mm,57.4mm,Top,270.0
R6,158.375mm,28.65mm,Top,90.0
R7,136.325mm,9.95mm,Top,0.0
R8,141.225mm,10.1mm,Top,180.0
R21,51.325mm,55.8mm,Top,120.0
R22,52.625mm,47.15mm,Top,120.0
R23,40.875mm,47.1mm,Top,300.0
R24,51.125mm,27.45mm,Top,45.0
R25,48.425mm,69.65mm,Top,90.0
R26,35.875mm,69.9mm,Top,90.0
R29,65.825mm,48.8mm,Top,90.0
R30,70.575mm,36.0mm,Top,0.0
