Designator,Mid X,Mid Y,Layer,Rotation
D2,50.445mm,52.925mm,Bottom,180.0
D3,52.5mm,43.425mm,Bottom,180.0
D4,42.695mm,39.7mm,Bottom,180.0
D5,52.937868mm,36.712868mm,Bottom,225.0
R9,30.4mm,45.375mm,Bottom,90.0
R10,7.95mm,43.125mm,Bottom,90.0
R11,26.9mm,43.575mm,Bottom,90.0
R12,33.5mm,49.125mm,Bottom,90.0
R13,6.65mm,48.075mm,Bottom,90.0
R14,24.15mm,47.375mm,Bottom,90.0
R15,18.15mm,44.35mm,Bottom,90.0
R18,15.6mm,48.325mm,Bottom,90.0
R29,65.0mm,46.6mm,Bottom,90.0
R30,64.9mm,54.3mm,Bottom,90.0
C1,138.95mm,27.3mm,Top,90.0
D6,41.2mm,69.825mm,Top,0.0
D7,26.4mm,70.275mm,Top,0.0
F1,127.3mm,40.975mm,Top,315.0
F2,115.95mm,44.175mm,Top,0.0
G3,58.7mm,15.675mm,Top,0.0
G4,122.05mm,6.05mm,Top,0.0
J1,28.91mm,8.225mm,Top,90.0
J4,75.01mm,8.225mm,Top,90.0
J9,138.8mm,4.275mm,Top,0.0
P3,134.55mm,41.075mm,Top,90.0
P4,138.33mm,41.075mm,Top,90.0
Q1,32.446811mm,50.870715mm,Top,300.0
Q2,5.58mm,49.583808mm,Top,300.0
Q3,23.696811mm,49.420715mm,Top,300.0
Q4,14.63mm,49.683808mm,Top,300.0
Q7,47.95mm,52.85mm,Top,120.0
Q8,49.45mm,42.875mm,Top,120.0
Q9,41.7mm,40.625mm,Top,120.0
Q10,52.0mm,32.5mm,Top,315.0
Q11,45.85mm,69.775mm,Top,0.0
Q12,32.1375mm,70.225mm,Top,0.0
Q13,59.8mm,45.1mm,Top,180.0
Q14,60.1mm,52.9mm,Top,180.0
Q15,66.45mm,27.65mm,Top,180.0
Q16,65.35mm,36.15mm,Top,180.0
R1,142.95mm,55.175mm,Top,270.0
R2,111.9mm,56.775mm,Top,90.0
R3,113.8mm,55.225mm,Top,90.0
R4,116.2mm,15.275mm,Top,180.0
R5,69.7mm,57.525mm,Top,270.0
R6,158.45mm,28.775mm,Top,90.0
R7,135.7mm,9.7mm,Top,0.0
R8,142.2mm,9.9mm,Top,180.0
R21,51.5mm,55.925mm,Top,120.0
R22,52.1mm,47.45mm,Top,120.0
R23,41.5mm,47.3mm,Top,270.0
R24,54.0mm,26.1mm,Top,45.0
R25,48.6mm,69.775mm,Top,90.0
R26,36.05mm,70.025mm,Top,90.0
R31,66.1mm,22.85mm,Top,90.0
R32,65.95mm,40.95mm,Top,270.0
U1,0.175mm,0.125mm,Top,0.0
U2,147.2125mm,38.275mm,Top,0.0
text1,146.387855mm,6.227499mm,Top,0.0
R428,119.67949899999999mm,20.365601mm,Bottom,0.0
R427,118.324999mm,33.500001000000005mm,Bottom,270.0
R426,118.684899mm,21.974201mm,Top,180.0
R425,125.799999mm,23.282301000000004mm,Top,0.0
R424,128.09709900000001mm,23.282301000000004mm,Top,180.0
LED4,117.436099mm,35.041901mm,Top,180.0
LED3,120.834199mm,21.974201mm,Top,0.0
LED2,125.824999mm,22.200901mm,Top,0.0
LED1,128.072099mm,22.200901mm,Top,180.0
R422,117.324999mm,29.191601000000002mm,Bottom,90.0
C426,122.724999mm,22.960001000000002mm,Top,270.0
C425,122.724999mm,25.650001000000003mm,Top,90.0
F410,130.99179900000001mm,28.493001mm,Top,270.0
C415,117.024999mm,23.326601000000004mm,Bottom,270.0
C414,126.534999mm,24.301601mm,Bottom,90.0
U411,121.674999mm,25.727801mm,Bottom,0.0
D410,130.691799mm,32.850001mm,Bottom,90.0
R411,133.591799mm,32.751601mm,Bottom,180.0
D417,133.824999mm,30.101601000000002mm,Bottom,90.0
C410,131.884999mm,24.857001000000004mm,Bottom,90.0
D412,134.441799mm,29.200001mm,Top,90.0
R410,134.474999mm,31.976601000000002mm,Top,270.0
D413,132.816799mm,29.200001mm,Top,90.0
C411,132.024999mm,30.126601mm,Bottom,270.0
R413,130.49179900000001mm,30.126601mm,Bottom,270.0
D414,132.024999mm,32.650001mm,Bottom,270.0
D418,126.824999mm,28.920001000000003mm,Top,270.0
D416,130.918699mm,24.048401000000002mm,Top,90.0
U410,133.524999mm,24.451601000000004mm,Top,90.0
C412,133.924999mm,24.857001000000004mm,Bottom,90.0
C413,133.087899mm,26.826601000000004mm,Top,0.0
D411,132.016499mm,32.501601mm,Top,270.0
U420,122.916799mm,31.586601mm,Bottom,90.0
R420,131.341899mm,27.476601000000002mm,Bottom,0.0
C429,118.324999mm,29.291601mm,Bottom,270.0
C427,131.52689900000001mm,28.570301mm,Bottom,180.0
C428,118.324999mm,31.480701000000003mm,Bottom,90.0
C423,128.416799mm,30.653401000000002mm,Bottom,0.0
C421,128.416799mm,29.461801mm,Bottom,0.0
C422,128.416799mm,28.270301000000003mm,Bottom,0.0
C424,128.416799mm,31.850001000000002mm,Bottom,180.0
R421,126.654999mm,28.095301000000003mm,Bottom,270.0
R423,117.324999mm,31.380701000000002mm,Bottom,90.0
D420,116.324999mm,29.850001000000002mm,Top,270.0
C420,128.824999mm,32.900001mm,Bottom,180.0
L420,128.724999mm,24.950001mm,Bottom,90.0
D421,118.364199mm,24.600001000000002mm,Top,180.0
L421,120.924999mm,30.350001000000002mm,Top,270.0
C474,157.560002mm,22.8036mm,Bottom,0.0
R470,158.47500200000002mm,19.150000000000002mm,Bottom,270.0
U471,157.52800200000001mm,24.185000000000002mm,Top,270.0
R474,157.560402mm,25.05mm,Bottom,270.0
R473,158.025002mm,23.7904mm,Bottom,0.0
R472,158.47500200000002mm,21.275000000000002mm,Bottom,270.0
C473,156.575002mm,25.15mm,Bottom,270.0
C472,158.425002mm,25.15mm,Bottom,90.0
U470,157.52800200000001mm,20.21mm,Top,270.0
R471,157.575002mm,19.150000000000002mm,Bottom,90.0
C471,156.575002mm,19.2mm,Bottom,90.0
C470,156.575002mm,21.325mm,Bottom,270.0
C752,72.475mm,61.800000000000004mm,Bottom,0.0
C753,72.5mm,63.72500000000001mm,Bottom,180.0
C755,74.5mm,58.60000000000001mm,Bottom,180.0
C756,76.63499999999999mm,58.60000000000001mm,Bottom,180.0
C757,76.63499999999999mm,59.550000000000004mm,Bottom,180.0
C760,81.82499999999999mm,65.30000000000001mm,Bottom,90.0
C761,84.77499999999999mm,57.71000000000001mm,Bottom,0.0
C762,81.82856299999999mm,63.464611000000005mm,Bottom,270.0
C764,72.67999999999999mm,58.60000000000001mm,Bottom,0.0
C766,72.63mm,57.67mm,Bottom,0.0
R752,84.06574699999999mm,63.351000000000006mm,Bottom,180.0
R753,84.06574699999999mm,65.275mm,Bottom,0.0
R754,72.57499999999999mm,59.550000000000004mm,Bottom,0.0
R757,72.625mm,60.50000000000001mm,Bottom,180.0
R760,72.5mm,62.775000000000006mm,Bottom,180.0
R761,74.44999999999999mm,59.550000000000004mm,Bottom,0.0
R762,74.52499999999999mm,60.50000000000001mm,Bottom,0.0
R763,72.615mm,65.81mm,Bottom,180.0
R765,76.63499999999999mm,57.67mm,Bottom,0.0
R766,76.622085mm,60.49992700000001mm,Bottom,0.0
U752,79.625mm,58.900000000000006mm,Bottom,180.0
U753,77.40928299999999mm,63.75000000000001mm,Bottom,90.0
U757,83.725mm,59.97921600000001mm,Bottom,180.0
C751,80.64999999999999mm,64.4mm,Top,90.0
C754,77.07499999999999mm,65.38000000000001mm,Top,270.0
C758,74.77499999999999mm,65.38000000000001mm,Top,90.0
C759,77.07499999999999mm,63.38840700000001mm,Top,270.0
C763,84.77499999999999mm,62.150000000000006mm,Top,0.0
C765,81.675mm,60.330000000000005mm,Top,180.0
C767,74.77499999999999mm,63.38840700000001mm,Top,270.0
C768,79.38499999999999mm,59.080000000000005mm,Top,270.0
C769,72.285mm,62.800000000000004mm,Top,0.0
D751,84.125mm,60.60000000000001mm,Top,180.0
R751,84.475mm,59.300000000000004mm,Top,0.0
R755,80.17999999999999mm,63.00000000000001mm,Top,0.0
R756,80.17999999999999mm,65.875mm,Top,180.0
R758,79.425mm,64.43578500000001mm,Top,90.0
R759,80.17999999999999mm,62.00000000000001mm,Top,180.0
R764,76.07499999999999mm,65.38000000000001mm,Top,270.0
R767,78.07499999999999mm,63.38840700000001mm,Top,90.0
R768,76.07499999999999mm,63.38840700000001mm,Top,270.0
R769,78.07499999999999mm,65.38000000000001mm,Top,270.0
U751,83.399294mm,64.318403mm,Top,0.0
U754,75.22697mm,59.7mm,Top,90.0
U755,81.41499999999999mm,58.410000000000004mm,Top,180.0
U756,72.878205mm,64.80000000000001mm,Top,270.0
C771,131.175mm,50.2mm,Top,90.0
C772,126.275mm,50.900000000000006mm,Top,0.0
C773,126.275mm,49.552095mm,Top,0.0
D771,129.375mm,47.7mm,Top,0.0
R771,135.775mm,53.900000000000006mm,Top,0.0
R772,137.675mm,50.1mm,Top,90.0
R773,134.07500000000002mm,51.5mm,Top,0.0
R774,134.07500000000002mm,49.0mm,Top,0.0
R775,129.875mm,50.2mm,Top,90.0
R776,126.275mm,47.75mm,Top,0.0
R777,128.375mm,50.2mm,Top,90.0
U771,128.475mm,53.400000000000006mm,Top,180.0
C601,24.3mm,31.975mm,Bottom,180.0
C602,24.3mm,32.925000000000004mm,Bottom,180.0
C603,22.1mm,32.925000000000004mm,Bottom,0.0
C604,24.3mm,33.875mm,Bottom,180.0
C605,22.641668000000003mm,20.050000000000004mm,Bottom,270.0
C606,22.1mm,33.875mm,Bottom,180.0
C607,26.525000000000002mm,16.375000000000004mm,Bottom,270.0
C608,32.775000000000006mm,33.650000000000006mm,Bottom,90.0
C617,30.124628mm,39.475mm,Bottom,180.0
C618,24.525000000000002mm,37.050064000000006mm,Bottom,270.0
D604,22.35mm,37.45mm,Bottom,90.0
R602,27.400000000000002mm,25.150000000000002mm,Bottom,90.0
R603,29.400000000000002mm,25.925000000000004mm,Bottom,270.0
R604,22.1mm,31.975mm,Bottom,0.0
R605,28.400000000000002mm,25.950000000000003mm,Bottom,90.0
R606,27.675mm,17.35mm,Bottom,90.0
R607,21.575000000000003mm,20.050000000000004mm,Bottom,90.0
R608,28.400000000000002mm,24.050000000000004mm,Bottom,270.0
R609,32.75mm,31.050000000000004mm,Bottom,90.0
R610,25.150000000000002mm,21.975mm,Bottom,90.0
R611,25.150000000000002mm,20.050000000000004mm,Bottom,90.0
R612,23.883334mm,20.050000000000004mm,Bottom,270.0
R613,31.05mm,30.075000000000003mm,Bottom,0.0
R614,31.825000000000003mm,33.654291mm,Bottom,270.0
R615,31.35mm,31.6mm,Bottom,270.0
R616,31.325000000000003mm,16.400000000000002mm,Bottom,90.0
R618,29.400000000000002mm,28.675000000000004mm,Bottom,90.0
R619,28.400000000000002mm,27.85mm,Bottom,90.0
R620,27.400000000000002mm,27.85mm,Bottom,270.0
R621,32.260000000000005mm,39.475mm,Bottom,180.0
R622,31.325000000000003mm,18.35mm,Bottom,270.0
R623,27.400000000000002mm,29.725mm,Bottom,90.0
R624,33.725mm,33.650000000000006mm,Bottom,270.0
R629,28.113652000000002mm,39.465mm,Bottom,0.0
R630,30.840000000000003mm,24.635mm,Bottom,90.0
U600,23.85mm,27.425000000000004mm,Bottom,180.0
U601,32.775000000000006mm,36.775000000000006mm,Bottom,270.0
U605,28.049628000000002mm,35.275000000000006mm,Bottom,90.0
C600,22.475mm,25.187500000000004mm,Top,180.0
C609,23.900000000000002mm,33.5mm,Top,180.0
C610,30.450000000000003mm,38.898mm,Top,270.0
C611,28.55mm,24.075000000000003mm,Top,180.0
C612,30.450000000000003mm,24.075000000000003mm,Top,0.0
C613,25.925mm,38.0mm,Top,270.0
C614,26.425mm,24.075000000000003mm,Top,0.0
C615,33.225mm,34.175000000000004mm,Top,0.0
C616,28.387500000000003mm,35.85mm,Top,180.0
D600,23.325000000000003mm,15.475000000000001mm,Top,0.0
D601,22.0mm,28.250000000000004mm,Top,90.0
D602,22.0mm,31.225mm,Top,270.0
D603,32.83mm,35.757450000000006mm,Top,180.0
Q600,26.55mm,19.915000000000003mm,Top,0.0
Q601,33.225mm,19.825000000000003mm,Top,90.0
R600,24.375mm,24.125000000000004mm,Top,180.0
R601,22.475mm,24.125000000000004mm,Top,180.0
R617,33.225mm,25.375000000000004mm,Top,0.0
R625,25.900000000000002mm,36.025000000000006mm,Top,270.0
R626,22.475mm,26.250000000000004mm,Top,180.0
R627,22.025000000000002mm,33.375mm,Top,180.0
R628,30.450000000000003mm,36.25mm,Top,90.0
U602,28.700000000000003mm,29.725mm,Top,0.0
U603,32.7mm,38.35mm,Top,180.0
U604,28.225mm,38.300000000000004mm,Top,270.0
R148,96.325005mm,21.100004999999996mm,Bottom,0.0
R142,94.925005mm,20.200004999999997mm,Bottom,0.0
U108,78.744805mm,53.291005mm,Top,180.0
VD103,75.925005mm,48.705005mm,Bottom,90.0
U101,103.975005mm,23.853604999999998mm,Top,90.0
C119,96.324905mm,28.580605mm,Bottom,180.0
R147,87.313405mm,20.783704999999998mm,Bottom,180.0
R146,106.991105mm,22.200004999999997mm,Bottom,90.0
R141,93.925005mm,20.200004999999997mm,Bottom,0.0
U102,98.868505mm,25.571505mm,Bottom,0.0
R109,98.808705mm,26.167205mm,Top,0.0
R108,101.725005mm,26.556005mm,Bottom,0.0
Q103,98.082205mm,24.103205mm,Top,0.0
Q102,93.530005mm,21.500005mm,Top,0.0
Q101,99.252505mm,21.265005000000002mm,Bottom,180.0
Q100,102.625005mm,23.905005mm,Bottom,90.0
L100,92.725605mm,39.950005mm,Bottom,0.0
F100,90.870005mm,21.271605mm,Bottom,0.0
C120,94.624905mm,40.100505mm,Top,180.0
C107,99.746505mm,23.500004999999998mm,Bottom,180.0
C106,99.72150500000001mm,27.843104999999998mm,Bottom,180.0
U110,100.171905mm,29.895104999999997mm,Bottom,90.0
R145,100.132805mm,32.855305mm,Bottom,180.0
R144,100.132805mm,31.909805mm,Bottom,180.0
R143,106.728205mm,44.068805mm,Bottom,90.0
R107,98.011105mm,21.921605mm,Top,180.0
D108,98.371905mm,20.550005mm,Top,0.0
U107,77.018505mm,44.096104999999994mm,Bottom,180.0
U106,76.332605mm,30.668205mm,Top,180.0
C134,77.018505mm,45.832405mm,Bottom,180.0
C126,76.02980500000001mm,28.724905mm,Top,0.0
VD102,79.278805mm,48.705005mm,Bottom,90.0
VD101,75.925005mm,53.095005mm,Bottom,270.0
VD100,79.278805mm,53.095005mm,Bottom,270.0
U109,78.744805mm,50.816005mm,Top,180.0
U103,101.625005mm,37.475004999999996mm,Bottom,90.0
