Designator,Mid X,Mid Y,Layer,Rotation
R766,10.368072999999999mm,48.054085mm,Bottom,90.0
U752,11.968mm,51.056999999999995mm,Bottom,270.0
U753,7.118mm,48.841283mm,Bottom,180.0
U757,10.888784000000001mm,55.157mm,Bottom,270.0
C751,6.468mm,52.081999999999994mm,Top,180.0
C754,5.4879999999999995mm,48.507mm,Top,0.0
C758,5.4879999999999995mm,46.206999999999994mm,Top,180.0
C759,7.4795929999999995mm,48.507mm,Top,0.0
C763,8.718mm,56.206999999999994mm,Top,90.0
C765,10.538mm,53.107mm,Top,270.0
C767,7.4795929999999995mm,46.206999999999994mm,Top,0.0
C768,11.788mm,50.81699999999999mm,Top,0.0
C769,8.068mm,43.717mm,Top,90.0
D751,10.268mm,55.556999999999995mm,Top,270.0
R751,11.568mm,55.907mm,Top,90.0
R755,7.868mm,51.611999999999995mm,Top,90.0
R756,4.993mm,51.611999999999995mm,Top,270.0
R758,6.432214999999999mm,50.857mm,Top,180.0
R759,8.868mm,51.611999999999995mm,Top,270.0
R764,5.4879999999999995mm,47.507mm,Top,0.0
R767,7.4795929999999995mm,49.507mm,Top,180.0
R768,7.4795929999999995mm,47.507mm,Top,0.0
R769,5.4879999999999995mm,49.507mm,Top,0.0
U751,6.549597mm,54.831294mm,Top,90.0
U754,11.168mm,46.65897mm,Top,180.0
U755,12.458mm,52.846999999999994mm,Top,270.0
U756,6.068mm,44.310204999999996mm,Top,0.0
C771,78.68299999999999mm,65.656mm,Top,270.0
C772,83.583mm,64.956mm,Top,180.0
C773,83.583mm,66.303905mm,Top,180.0
D771,80.483mm,68.156mm,Top,180.0
R771,74.083mm,61.955999999999996mm,Top,180.0
R772,72.18299999999999mm,65.756mm,Top,270.0
R773,75.783mm,64.356mm,Top,180.0
R774,75.783mm,66.856mm,Top,180.0
R775,79.983mm,65.656mm,Top,270.0
R776,83.583mm,68.106mm,Top,180.0
R777,81.483mm,65.656mm,Top,270.0
U771,81.383mm,62.455999999999996mm,Top,0.0
C601,129.98000000000002mm,20.912mm,Bottom,90.0
C602,130.93mm,20.912mm,Bottom,90.0
C603,130.93mm,23.112mm,Bottom,270.0
C604,131.88000000000002mm,20.912mm,Bottom,90.0
C605,118.055mm,22.570331999999997mm,Bottom,180.0
C606,131.88000000000002mm,23.112mm,Bottom,90.0
C607,114.38000000000001mm,18.686999999999998mm,Bottom,180.0
C608,131.655mm,12.436999999999998mm,Bottom,0.0
C617,137.48000000000002mm,15.087371999999998mm,Bottom,90.0
C618,135.05506400000002mm,20.686999999999998mm,Bottom,180.0
D604,135.455mm,22.862mm,Bottom,0.0
R602,123.15500000000002mm,17.811999999999998mm,Bottom,0.0
R603,123.93mm,15.811999999999998mm,Bottom,180.0
R604,129.98000000000002mm,23.112mm,Bottom,270.0
R605,123.95500000000001mm,16.811999999999998mm,Bottom,0.0
R606,115.35500000000002mm,17.537mm,Bottom,0.0
R607,118.055mm,23.636999999999997mm,Bottom,0.0
R608,122.055mm,16.811999999999998mm,Bottom,180.0
R609,129.055mm,12.461999999999998mm,Bottom,0.0
R610,119.98000000000002mm,20.061999999999998mm,Bottom,0.0
R611,118.055mm,20.061999999999998mm,Bottom,0.0
R612,118.055mm,21.328666mm,Bottom,180.0
R613,128.08mm,14.161999999999999mm,Bottom,270.0
R614,131.65929100000002mm,13.386999999999999mm,Bottom,180.0
R615,129.60500000000002mm,13.861999999999998mm,Bottom,180.0
R616,114.40500000000002mm,13.886999999999999mm,Bottom,0.0
R618,126.68mm,15.811999999999998mm,Bottom,0.0
R619,125.85500000000002mm,16.811999999999998mm,Bottom,0.0
R620,125.85500000000002mm,17.811999999999998mm,Bottom,180.0
R621,137.48000000000002mm,12.951999999999998mm,Bottom,90.0
R622,116.35500000000002mm,13.886999999999999mm,Bottom,180.0
R623,127.73000000000002mm,17.811999999999998mm,Bottom,0.0
R624,131.655mm,11.486999999999998mm,Bottom,180.0
R629,137.47mm,17.098347999999998mm,Bottom,270.0
R630,122.64000000000001mm,14.371999999999998mm,Bottom,0.0
U600,125.43mm,21.362mm,Bottom,90.0
U601,134.78mm,12.436999999999998mm,Bottom,180.0
U605,133.28mm,17.162371999999998mm,Bottom,0.0
C600,123.19250000000001mm,22.737mm,Top,90.0
C609,131.50500000000002mm,21.311999999999998mm,Top,90.0
C610,136.90300000000002mm,14.761999999999999mm,Top,180.0
C611,122.08000000000001mm,16.662mm,Top,90.0
C612,122.08000000000001mm,14.761999999999999mm,Top,270.0
C613,136.00500000000002mm,19.287mm,Top,180.0
C614,122.08000000000001mm,18.787mm,Top,270.0
C615,132.18mm,11.986999999999998mm,Top,270.0
C616,133.85500000000002mm,16.8245mm,Top,90.0
D600,113.48000000000002mm,21.886999999999997mm,Top,270.0
D601,126.25500000000001mm,23.212mm,Top,0.0
D602,129.23000000000002mm,23.212mm,Top,180.0
D603,133.76245mm,12.381999999999998mm,Top,90.0
Q600,117.92000000000002mm,18.662mm,Top,270.0
Q601,117.83000000000001mm,11.986999999999998mm,Top,0.0
R600,122.13000000000001mm,20.837mm,Top,90.0
R601,122.13000000000001mm,22.737mm,Top,90.0
R617,123.38000000000001mm,11.986999999999998mm,Top,270.0
R625,134.03mm,19.311999999999998mm,Top,180.0
R626,124.25500000000001mm,22.737mm,Top,90.0
R627,131.38000000000002mm,23.186999999999998mm,Top,90.0
R628,134.25500000000002mm,14.761999999999999mm,Top,0.0
U602,127.73000000000002mm,16.512mm,Top,270.0
U603,136.35500000000002mm,12.511999999999999mm,Top,90.0
U604,136.305mm,16.987mm,Top,180.0
R148,68.587005mm,20.487004999999996mm,Bottom,0.0
R142,67.187005mm,19.587004999999998mm,Bottom,0.0
U108,51.006805mm,52.678005mm,Top,180.0
VD103,48.187005mm,48.092005mm,Bottom,90.0
U101,76.237005mm,23.240605mm,Top,90.0
C119,68.586905mm,27.967605mm,Bottom,180.0
R147,59.575405mm,20.170704999999998mm,Bottom,180.0
R146,79.253105mm,21.587004999999998mm,Bottom,90.0
R141,66.187005mm,19.587004999999998mm,Bottom,0.0
U102,71.130505mm,24.958505mm,Bottom,0.0
R109,71.070705mm,25.554205mm,Top,0.0
R108,73.987005mm,25.943005mm,Bottom,0.0
Q103,70.344205mm,23.490205mm,Top,0.0
Q102,65.792005mm,20.887005000000002mm,Top,0.0
Q101,71.514505mm,20.652005000000003mm,Bottom,180.0
Q100,74.887005mm,23.292005mm,Bottom,90.0
L100,64.987605mm,39.337005mm,Bottom,0.0
F100,63.13200500000001mm,20.658605mm,Bottom,0.0
C120,66.886905mm,39.487505mm,Top,180.0
C107,72.008505mm,22.887005mm,Bottom,180.0
C106,71.98350500000001mm,27.230105mm,Bottom,180.0
U110,72.433905mm,29.282104999999998mm,Bottom,90.0
R145,72.394805mm,32.242305mm,Bottom,180.0
R144,72.394805mm,31.296805mm,Bottom,180.0
R143,78.990205mm,43.455805mm,Bottom,90.0
R107,70.273105mm,21.308605mm,Top,180.0
