Designator,Mid X,Mid Y,Layer,Rotation
D2,50.27mm,52.856mm,Bottom,180.0
D3,52.325mm,43.356mm,Bottom,180.0
D4,43.063mm,39.616mm,Bottom,180.0
D5,52.762868mm,36.643868mm,Bottom,225.0
R9,29.725mm,44.731mm,Bottom,120.0
R10,4.275mm,40.331mm,Bottom,120.0
R11,20.825mm,43.331mm,Bottom,120.0
R12,31.058189mm,51.594093mm,Bottom,120.0
R13,6.116811mm,45.394093mm,Bottom,120.0
R14,22.25mm,49.707186mm,Bottom,120.0
R15,12.575mm,40.981mm,Bottom,120.0
R18,14.375mm,47.031mm,Bottom,120.0
R29,64.825mm,46.531mm,Bottom,90.0
R30,64.725mm,54.231mm,Bottom,90.0
C1,138.775mm,27.231mm,Top,90.0
D6,41.025mm,69.756mm,Top,0.0
D7,26.225mm,70.206mm,Top,0.0
F1,125.499mm,42.044mm,Top,315.0
F2,111.92mm,42.878mm,Top,270.0
G3,142.447mm,4.108mm,Top,0.0
G4,111.41135mm,5.419713mm,Top,0.0
J4,66.006mm,11.273mm,Top,0.0
J9,124.175mm,4.281mm,Top,0.0
P3,134.375mm,41.006mm,Top,90.0
P4,138.155mm,41.006mm,Top,90.0
Q1,31.455mm,50.739808mm,Top,300.0
Q2,5.746811mm,46.027901mm,Top,300.0
Q3,22.746811mm,48.927901mm,Top,300.0
Q4,14.455mm,46.864808mm,Top,300.0
Q7,47.775mm,52.781mm,Top,120.0
Q8,49.275mm,42.806mm,Top,120.0
Q9,41.525mm,40.556mm,Top,120.0
Q10,51.825mm,32.431mm,Top,315.0
Q11,45.675mm,69.706mm,Top,0.0
Q12,31.9625mm,70.156mm,Top,0.0
Q13,59.625mm,45.031mm,Top,180.0
Q14,59.925mm,52.831mm,Top,180.0
Q15,66.275mm,27.581mm,Top,180.0
Q16,65.175mm,36.081mm,Top,180.0
R1,142.775mm,55.106mm,Top,270.0
R2,114.47mm,57.142mm,Top,90.0
R3,116.861072mm,55.211mm,Top,90.0
R4,116.025mm,15.206mm,Top,180.0
R5,69.525mm,57.456mm,Top,270.0
R6,158.275mm,28.706mm,Top,90.0
R7,119.925mm,9.631mm,Top,0.0
R8,126.775mm,10.031mm,Top,180.0
R21,51.325mm,55.856mm,Top,120.0
R22,51.925mm,47.381mm,Top,120.0
R23,41.325mm,47.231mm,Top,270.0
R24,53.825mm,26.031mm,Top,45.0
R25,48.425mm,69.706mm,Top,90.0
R26,35.875mm,69.956mm,Top,90.0
R31,65.925mm,22.781mm,Top,90.0
R32,65.775mm,40.881mm,Top,270.0
U1,0.0mm,0.056mm,Top,0.0
U2,147.0375mm,38.206mm,Top,0.0
