Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D2,50.445mm,52.925000mm,Bottom,180.0,50.445mm,52.925000mm
D3,52.5mm,43.425000mm,Bottom,180.0,52.5mm,43.425000mm
D4,42.695mm,39.700000mm,Bottom,180.0,42.695mm,39.700000mm
D5,52.937868mm,36.712868mm,Bottom,-135.0,52.937868mm,36.712868mm
R9,29.9mm,44.800000mm,Bottom,120.0,29.9mm,44.800000mm
R10,4.45mm,40.400000mm,Bottom,120.0,4.45mm,40.400000mm
R11,21.0mm,43.400000mm,Bottom,120.0,21.0mm,43.400000mm
R12,31.233189mm,51.663093mm,Bottom,120.0,31.233189mm,51.663093mm
R13,6.291811mm,45.463093mm,Bottom,120.0,6.291811mm,45.463093mm
R14,22.425mm,49.776186mm,Bottom,120.0,22.425mm,49.776186mm
R15,12.75mm,41.050000mm,Bottom,120.0,12.75mm,41.050000mm
R18,14.55mm,47.100000mm,Bottom,120.0,14.55mm,47.100000mm
R29,65.0mm,46.600000mm,Bottom,90.0,65.0mm,46.600000mm
R30,64.9mm,54.300000mm,Bottom,90.0,64.9mm,54.300000mm
C1,138.950000mm,27.300000mm,Top,90.0,138.950000mm,27.300000mm
D6,41.200000mm,69.825000mm,Top,0.0,41.200000mm,69.825000mm
D7,26.400000mm,70.275000mm,Top,0.0,26.400000mm,70.275000mm
F1,127.300000mm,40.975000mm,Top,-45.0,127.300000mm,40.975000mm
F2,115.950000mm,44.175000mm,Top,0.0,115.950000mm,44.175000mm
G3,38.950000mm,28.600000mm,Top,0.0,38.950000mm,28.600000mm
G4,63.000000mm,16.200000mm,Top,0.0,63.000000mm,16.200000mm
J1,28.910000mm,8.225000mm,Top,90.0,28.910000mm,8.225000mm
J4,75.010000mm,8.225000mm,Top,90.0,75.010000mm,8.225000mm
J9,124.350000mm,4.350000mm,Top,0.0,124.350000mm,4.350000mm
M1,114.424999mm,36.050001mm,Top,-90.0,114.424999mm,36.050001mm
M2,159.175002mm,17.550000mm,Top,90.0,159.175002mm,17.550000mm
M3,86.225000mm,66.650000mm,Top,180.0,86.225000mm,66.650000mm
M4,139.275000mm,55.700000mm,Top,180.0,139.275000mm,55.700000mm
M5,20.125000mm,39.825000mm,Top,-90.0,20.125000mm,39.825000mm
M6,108.125005mm,55.300005mm,Top,180.0,108.125005mm,55.300005mm
M7,4.025000mm,36.650000mm,Top,-90.0,4.025000mm,36.650000mm
M8,135.499998mm,0.200003mm,Top,0.0,135.499998mm,0.200003mm
P3,134.550000mm,41.075000mm,Top,90.0,134.550000mm,41.075000mm
P4,138.330000mm,41.075000mm,Top,90.0,138.330000mm,41.075000mm
Q1,31.630000mm,50.808808mm,Top,300.0,31.630000mm,50.808808mm
Q2,5.921811mm,46.096901mm,Top,300.0,5.921811mm,46.096901mm
Q3,22.921811mm,48.996901mm,Top,300.0,22.921811mm,48.996901mm
Q4,14.630000mm,46.933808mm,Top,300.0,14.630000mm,46.933808mm
Q7,47.950000mm,52.850000mm,Top,120.0,47.950000mm,52.850000mm
Q8,49.450000mm,42.875000mm,Top,120.0,49.450000mm,42.875000mm
Q9,41.700000mm,40.625000mm,Top,120.0,41.700000mm,40.625000mm
Q10,52.000000mm,32.500000mm,Top,315.0,52.000000mm,32.500000mm
Q11,45.850000mm,69.775000mm,Top,0.0,45.850000mm,69.775000mm
Q12,32.137500mm,70.225000mm,Top,0.0,32.137500mm,70.225000mm
Q13,59.800000mm,45.100000mm,Top,180.0,59.800000mm,45.100000mm
Q14,60.100000mm,52.900000mm,Top,180.0,60.100000mm,52.900000mm
Q15,66.450000mm,27.650000mm,Top,180.0,66.450000mm,27.650000mm
Q16,65.350000mm,36.150000mm,Top,180.0,65.350000mm,36.150000mm
R1,142.950000mm,55.175000mm,Top,-90.0,142.950000mm,55.175000mm
R2,111.900000mm,56.775000mm,Top,90.0,111.900000mm,56.775000mm
R3,113.800000mm,55.225000mm,Top,90.0,113.800000mm,55.225000mm
R4,116.200000mm,15.275000mm,Top,180.0,116.200000mm,15.275000mm
R5,69.700000mm,57.525000mm,Top,-90.0,69.700000mm,57.525000mm
R6,158.450000mm,28.775000mm,Top,90.0,158.450000mm,28.775000mm
R7,120.100000mm,9.700000mm,Top,0.0,120.100000mm,9.700000mm
R8,126.950000mm,10.100000mm,Top,180.0,126.950000mm,10.100000mm
R21,51.500000mm,55.925000mm,Top,120.0,51.500000mm,55.925000mm
R22,52.100000mm,47.450000mm,Top,120.0,52.100000mm,47.450000mm
R23,41.500000mm,47.300000mm,Top,-90.0,41.500000mm,47.300000mm
R24,54.000000mm,26.100000mm,Top,45.0,54.000000mm,26.100000mm
R25,48.600000mm,69.775000mm,Top,90.0,48.600000mm,69.775000mm
R26,36.050000mm,70.025000mm,Top,90.0,36.050000mm,70.025000mm
R31,66.100000mm,22.850000mm,Top,90.0,66.100000mm,22.850000mm
R32,65.950000mm,40.950000mm,Top,-90.0,65.950000mm,40.950000mm
U1,0.175000mm,0.125000mm,Top,0.0,0.175000mm,0.125000mm
U2,147.212500mm,38.275000mm,Top,0.0,147.212500mm,38.275000mm
text1,45.032505mm,10.069786mm,Top,0.0,45.032505mm,10.069786mm
