Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D2,50.445mm,52.925000mm,Bottom,180.0,50.445mm,52.925000mm
D3,52.5mm,43.425000mm,Bottom,180.0,52.5mm,43.425000mm
D4,42.695mm,39.700000mm,Bottom,180.0,42.695mm,39.700000mm
D5,52.937868mm,36.712868mm,Bottom,-135.0,52.937868mm,36.712868mm
R9,30.4mm,45.375000mm,Bottom,90.0,30.4mm,45.375000mm
R10,7.95mm,43.125000mm,Bottom,90.0,7.95mm,43.125000mm
R11,26.9mm,43.575000mm,Bottom,90.0,26.9mm,43.575000mm
R12,33.5mm,49.125000mm,Bottom,90.0,33.5mm,49.125000mm
R13,6.65mm,48.075000mm,Bottom,90.0,6.65mm,48.075000mm
R14,24.15mm,47.375000mm,Bottom,90.0,24.15mm,47.375000mm
R15,18.15mm,44.350000mm,Bottom,90.0,18.15mm,44.350000mm
R18,15.6mm,48.325000mm,Bottom,90.0,15.6mm,48.325000mm
R29,65.0mm,46.600000mm,Bottom,90.0,65.0mm,46.600000mm
R30,64.9mm,54.300000mm,Bottom,90.0,64.9mm,54.300000mm
C1,138.950000mm,27.300000mm,Top,90.0,138.950000mm,27.300000mm
D6,41.200000mm,69.825000mm,Top,0.0,41.200000mm,69.825000mm
D7,26.400000mm,70.275000mm,Top,0.0,26.400000mm,70.275000mm
F1,127.300000mm,40.975000mm,Top,-45.0,127.300000mm,40.975000mm
F2,115.950000mm,44.175000mm,Top,0.0,115.950000mm,44.175000mm
G3,58.700000mm,15.675000mm,Top,0.0,58.700000mm,15.675000mm
G4,122.050000mm,6.050000mm,Top,0.0,122.050000mm,6.050000mm
J1,28.910000mm,8.225000mm,Top,90.0,28.910000mm,8.225000mm
J4,75.010000mm,8.225000mm,Top,90.0,75.010000mm,8.225000mm
J9,138.800000mm,4.275000mm,Top,0.0,138.800000mm,4.275000mm
M1,114.424999mm,36.050001mm,Top,-90.0,114.424999mm,36.050001mm
M2,159.175002mm,17.550000mm,Top,90.0,159.175002mm,17.550000mm
M3,86.225000mm,66.650000mm,Top,180.0,86.225000mm,66.650000mm
M4,139.275000mm,55.700000mm,Top,180.0,139.275000mm,55.700000mm
M5,20.600000mm,41.075000mm,Top,-90.0,20.600000mm,41.075000mm
M6,108.125005mm,55.300005mm,Top,180.0,108.125005mm,55.300005mm
M7,4.025000mm,36.650000mm,Top,-90.0,4.025000mm,36.650000mm
P3,134.550000mm,41.075000mm,Top,90.0,134.550000mm,41.075000mm
P4,138.330000mm,41.075000mm,Top,90.0,138.330000mm,41.075000mm
Q1,32.446811mm,50.870715mm,Top,300.0,32.446811mm,50.870715mm
Q2,5.580000mm,49.583808mm,Top,300.0,5.580000mm,49.583808mm
Q3,23.696811mm,49.420715mm,Top,300.0,23.696811mm,49.420715mm
Q4,14.630000mm,49.683808mm,Top,300.0,14.630000mm,49.683808mm
Q7,47.950000mm,52.850000mm,Top,120.0,47.950000mm,52.850000mm
Q8,49.450000mm,42.875000mm,Top,120.0,49.450000mm,42.875000mm
Q9,41.700000mm,40.625000mm,Top,120.0,41.700000mm,40.625000mm
Q10,52.000000mm,32.500000mm,Top,315.0,52.000000mm,32.500000mm
Q11,45.850000mm,69.775000mm,Top,0.0,45.850000mm,69.775000mm
Q12,32.137500mm,70.225000mm,Top,0.0,32.137500mm,70.225000mm
Q13,59.800000mm,45.100000mm,Top,180.0,59.800000mm,45.100000mm
Q14,60.100000mm,52.900000mm,Top,180.0,60.100000mm,52.900000mm
Q15,66.450000mm,27.650000mm,Top,180.0,66.450000mm,27.650000mm
Q16,65.350000mm,36.150000mm,Top,180.0,65.350000mm,36.150000mm
R1,142.950000mm,55.175000mm,Top,-90.0,142.950000mm,55.175000mm
R2,111.900000mm,56.775000mm,Top,90.0,111.900000mm,56.775000mm
R3,113.800000mm,55.225000mm,Top,90.0,113.800000mm,55.225000mm
R4,116.200000mm,15.275000mm,Top,180.0,116.200000mm,15.275000mm
R5,69.700000mm,57.525000mm,Top,-90.0,69.700000mm,57.525000mm
R6,158.450000mm,28.775000mm,Top,90.0,158.450000mm,28.775000mm
R7,135.700000mm,9.700000mm,Top,0.0,135.700000mm,9.700000mm
R8,142.200000mm,9.900000mm,Top,180.0,142.200000mm,9.900000mm
R21,51.500000mm,55.925000mm,Top,120.0,51.500000mm,55.925000mm
R22,52.100000mm,47.450000mm,Top,120.0,52.100000mm,47.450000mm
R23,41.500000mm,47.300000mm,Top,-90.0,41.500000mm,47.300000mm
R24,54.000000mm,26.100000mm,Top,45.0,54.000000mm,26.100000mm
R25,48.600000mm,69.775000mm,Top,90.0,48.600000mm,69.775000mm
R26,36.050000mm,70.025000mm,Top,90.0,36.050000mm,70.025000mm
R31,66.100000mm,22.850000mm,Top,90.0,66.100000mm,22.850000mm
R32,65.950000mm,40.950000mm,Top,-90.0,65.950000mm,40.950000mm
U1,0.175000mm,0.125000mm,Top,0.0,0.175000mm,0.125000mm
U2,147.212500mm,38.275000mm,Top,0.0,147.212500mm,38.275000mm
text1,146.387855mm,6.227499mm,Top,0.0,146.387855mm,6.227499mm
