Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D2,50.445mm,52.925000mm,Bottom,180.0,50.445mm,52.925000mm
D3,52.5mm,43.425000mm,Bottom,180.0,52.5mm,43.425000mm
D4,42.595mm,40.775000mm,Bottom,180.0,42.595mm,40.775000mm
D5,52.937868mm,36.712868mm,Bottom,-135.0,52.937868mm,36.712868mm
R9,30.4mm,45.375000mm,Bottom,90.0,30.4mm,45.375000mm
R10,7.95mm,43.125000mm,Bottom,90.0,7.95mm,43.125000mm
R11,26.9mm,43.575000mm,Bottom,90.0,26.9mm,43.575000mm
R12,33.5mm,49.125000mm,Bottom,90.0,33.5mm,49.125000mm
R13,6.65mm,48.075000mm,Bottom,90.0,6.65mm,48.075000mm
R14,24.15mm,47.375000mm,Bottom,90.0,24.15mm,47.375000mm
R15,17.3mm,43.225000mm,Bottom,90.0,17.3mm,43.225000mm
R18,15.6mm,48.325000mm,Bottom,90.0,15.6mm,48.325000mm
C1,138.850000mm,20.225000mm,Top,90.0,138.850000mm,20.225000mm
D6,41.200000mm,69.825000mm,Top,0.0,41.200000mm,69.825000mm
D7,26.400000mm,70.275000mm,Top,0.0,26.400000mm,70.275000mm
F1,127.300000mm,40.975000mm,Top,-45.0,127.300000mm,40.975000mm
F2,115.950000mm,44.175000mm,Top,0.0,115.950000mm,44.175000mm
G3,58.700000mm,15.675000mm,Top,0.0,58.700000mm,15.675000mm
G4,9.900000mm,7.925000mm,Top,0.0,9.900000mm,7.925000mm
J1,28.910000mm,8.225000mm,Top,90.0,28.910000mm,8.225000mm
J4,75.010000mm,8.225000mm,Top,90.0,75.010000mm,8.225000mm
J9,138.800000mm,4.275000mm,Top,0.0,138.800000mm,4.275000mm
M1,114.424999mm,36.050001mm,Top,-90.0,114.424999mm,36.050001mm
M2,159.175002mm,17.550000mm,Top,90.0,159.175002mm,17.550000mm
M3,86.225000mm,66.650000mm,Top,180.0,86.225000mm,66.650000mm
M4,139.275000mm,55.700000mm,Top,180.0,139.275000mm,55.700000mm
M5,20.600000mm,41.075000mm,Top,-90.0,20.600000mm,41.075000mm
M6,108.125005mm,55.300005mm,Top,180.0,108.125005mm,55.300005mm
M7,4.025000mm,36.650000mm,Top,-90.0,4.025000mm,36.650000mm
P3,134.550000mm,41.075000mm,Top,90.0,134.550000mm,41.075000mm
P4,138.330000mm,41.075000mm,Top,90.0,138.330000mm,41.075000mm
Q1,32.446811mm,50.870715mm,Top,300.0,32.446811mm,50.870715mm
Q2,5.580000mm,49.583808mm,Top,300.0,5.580000mm,49.583808mm
Q3,23.696811mm,49.420715mm,Top,300.0,23.696811mm,49.420715mm
Q4,14.630000mm,49.683808mm,Top,300.0,14.630000mm,49.683808mm
Q7,47.900000mm,52.575000mm,Top,120.0,47.900000mm,52.575000mm
Q8,49.450000mm,42.875000mm,Top,120.0,49.450000mm,42.875000mm
Q9,41.700000mm,40.625000mm,Top,120.0,41.700000mm,40.625000mm
Q10,53.127386mm,33.397614mm,Top,315.0,53.127386mm,33.397614mm
Q11,45.850000mm,69.775000mm,Top,0.0,45.850000mm,69.775000mm
Q12,32.137500mm,70.225000mm,Top,0.0,32.137500mm,70.225000mm
Q13,60.200000mm,52.125000mm,Top,0.0,60.200000mm,52.125000mm
Q14,64.450000mm,34.875000mm,Top,0.0,64.450000mm,34.875000mm
Q15,61.900000mm,43.125000mm,Top,0.0,61.900000mm,43.125000mm
Q16,64.150000mm,25.425000mm,Top,90.0,64.150000mm,25.425000mm
R1,142.950000mm,55.175000mm,Top,-90.0,142.950000mm,55.175000mm
R2,111.900000mm,56.775000mm,Top,90.0,111.900000mm,56.775000mm
R3,113.800000mm,55.225000mm,Top,90.0,113.800000mm,55.225000mm
R4,116.200000mm,15.275000mm,Top,180.0,116.200000mm,15.275000mm
R5,69.700000mm,57.525000mm,Top,-90.0,69.700000mm,57.525000mm
R6,158.550000mm,28.775000mm,Top,90.0,158.550000mm,28.775000mm
R7,136.500000mm,10.075000mm,Top,0.0,136.500000mm,10.075000mm
R8,141.400000mm,10.225000mm,Top,180.0,141.400000mm,10.225000mm
R21,51.500000mm,55.925000mm,Top,120.0,51.500000mm,55.925000mm
R22,52.800000mm,47.275000mm,Top,120.0,52.800000mm,47.275000mm
R23,41.050000mm,47.225000mm,Top,-60.0,41.050000mm,47.225000mm
R24,51.300000mm,27.575000mm,Top,45.0,51.300000mm,27.575000mm
R25,48.600000mm,69.775000mm,Top,90.0,48.600000mm,69.775000mm
R26,36.050000mm,70.025000mm,Top,90.0,36.050000mm,70.025000mm
R29,66.000000mm,48.925000mm,Top,90.0,66.000000mm,48.925000mm
R30,70.750000mm,36.125000mm,Top,0.0,70.750000mm,36.125000mm
R31,67.800000mm,39.525000mm,Top,90.0,67.800000mm,39.525000mm
R32,69.550000mm,27.525000mm,Top,90.0,69.550000mm,27.525000mm
U1,0.175000mm,0.125000mm,Top,0.0,0.175000mm,0.125000mm
U2,147.212500mm,38.275000mm,Top,0.0,147.212500mm,38.275000mm
text1,146.237855mm,5.952499mm,Top,0.0,146.237855mm,5.952499mm
